Name,NumCells,NumActive,NumInactive,FractionActive,FractionInactive,Parameters
A - 09(fld 17 wv Cy3 - Cy3),17,7,10,0.4117647058823529,0.5882352941176471,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 18 wv Cy3 - Cy3),30,7,23,0.23333333333333334,0.7666666666666667,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 19 wv Cy3 - Cy3),63,18,45,0.2857142857142857,0.7142857142857143,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 20 wv Cy3 - Cy3),57,15,42,0.2631578947368421,0.7368421052631579,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 21 wv Cy3 - Cy3),0,0,0,NaN,NaN,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 22 wv Cy3 - Cy3),18,11,7,0.6111111111111112,0.3888888888888889,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 23 wv Cy3 - Cy3),24,9,15,0.375,0.625,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 24 wv Cy3 - Cy3),17,7,10,0.4117647058823529,0.5882352941176471,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 25 wv Cy3 - Cy3),34,9,25,0.2647058823529412,0.7352941176470589,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 26 wv Cy3 - Cy3),67,17,50,0.2537313432835821,0.746268656716418,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 27 wv Cy3 - Cy3),59,15,44,0.2542372881355932,0.7457627118644068,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 28 wv Cy3 - Cy3),0,0,0,NaN,NaN,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 29 wv Cy3 - Cy3),17,10,7,0.5882352941176471,0.4117647058823529,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 30 wv Cy3 - Cy3),20,10,10,0.5,0.5,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 31 wv Cy3 - Cy3),6,1,5,0.16666666666666666,0.8333333333333334,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 32 wv Cy3 - Cy3),35,10,25,0.2857142857142857,0.7142857142857143,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 33 wv Cy3 - Cy3),46,12,34,0.2608695652173913,0.7391304347826086,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 34 wv Cy3 - Cy3),49,18,31,0.3673469387755102,0.6326530612244898,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 35 wv Cy3 - Cy3),0,0,0,NaN,NaN,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 36 wv Cy3 - Cy3),18,7,11,0.3888888888888889,0.6111111111111112,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 37 wv Cy3 - Cy3),13,8,5,0.6153846153846154,0.38461538461538464,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 38 wv Cy3 - Cy3),13,4,9,0.3076923076923077,0.6923076923076923,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 39 wv Cy3 - Cy3),21,6,15,0.2857142857142857,0.7142857142857143,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 40 wv Cy3 - Cy3),25,13,12,0.52,0.48,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 41 wv Cy3 - Cy3),34,19,15,0.5588235294117647,0.4411764705882353,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 42 wv Cy3 - Cy3),0,0,0,NaN,NaN,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 43 wv Cy3 - Cy3),12,12,0,1.0,0.0,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 44 wv Cy3 - Cy3),5,5,0,1.0,0.0,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 45 wv Cy3 - Cy3),12,7,5,0.5833333333333334,0.4166666666666667,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 46 wv Cy3 - Cy3),12,9,3,0.75,0.25,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 47 wv Cy3 - Cy3),12,8,4,0.6666666666666666,0.3333333333333333,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 48 wv Cy3 - Cy3),9,8,1,0.8888888888888888,0.1111111111111111,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 09(fld 49 wv Cy3 - Cy3),0,0,0,NaN,NaN,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 01 wv Cy3 - Cy3),41,26,15,0.6341463414634146,0.36585365853658536,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 02 wv Cy3 - Cy3),27,8,19,0.2962962962962963,0.7037037037037037,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 03 wv Cy3 - Cy3),13,5,8,0.38461538461538464,0.6153846153846154,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 04 wv Cy3 - Cy3),37,19,18,0.5135135135135135,0.4864864864864865,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 05 wv Cy3 - Cy3),52,15,37,0.28846153846153844,0.7115384615384616,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 06 wv Cy3 - Cy3),67,14,53,0.208955223880597,0.7910447761194029,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 07 wv Cy3 - Cy3),0,0,0,NaN,NaN,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 08 wv Cy3 - Cy3),12,10,2,0.8333333333333334,0.16666666666666666,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 10(fld 09 wv Cy3 - Cy3),16,10,6,0.625,0.375,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
