Name,NumCells,NumActive,NumInactive,FractionActive,FractionInactive,Parameters
A - 07(fld 01 wv Cy3 - Cy3),78,41,37,0.5256410256410257,0.47435897435897434,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 02 wv Cy3 - Cy3),64,26,38,0.40625,0.59375,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 03 wv Cy3 - Cy3),84,34,50,0.40476190476190477,0.5952380952380952,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 04 wv Cy3 - Cy3),83,28,55,0.3373493975903614,0.6626506024096386,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 05 wv Cy3 - Cy3),89,23,66,0.25842696629213485,0.7415730337078652,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 06 wv Cy3 - Cy3),134,19,115,0.1417910447761194,0.8582089552238806,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 07 wv Cy3 - Cy3),9,1,8,0.1111111111111111,0.8888888888888888,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 08 wv Cy3 - Cy3),81,52,29,0.6419753086419753,0.35802469135802467,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 09 wv Cy3 - Cy3),84,36,48,0.42857142857142855,0.5714285714285714,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 10 wv Cy3 - Cy3),75,18,57,0.24,0.76,"{'min_thresh': 1700, 'max_thresh': 7000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
